rollout,truth_body_min_clearance_m,truth_padded_min_clearance_m,predicted_padded_min_clearance_m,first_predicted_conflict_s,first_predicted_margin_breach_s,truth_dynamic_safe,predicted_dynamic_safe,costcritic_collision,prediction_score_captured,prediction_score_recomputed,total_score,weighted_score,mppi_probability,critic_FollowPath.ConstraintCritic,critic_FollowPath.CostCritic,critic_FollowPath.GoalCritic,critic_FollowPath.GoalAngleCritic,critic_FollowPath.PathAlignCritic,critic_FollowPath.PathFollowCritic,critic_FollowPath.PathAngleCritic,critic_FollowPath.PredictionV1Critic
103,0.002378258776730495,0.0,0.0,0.10000000149011612,,False,False,False,1666.66658949852,1666.6666666666667,1669.806640625,1670.0496826171875,0.0007058377959765494,0.11923935264348984,0.0,1.956730104982853,0.0,1.0640816688537598,0.0,0.0,1666.66658949852
104,0.0,0.0,0.0,0.10000000149011612,,False,False,False,1666.66663980484,1666.6666666666667,1670.35205078125,1670.253173828125,0.0003581963828764856,0.0,1.2949999570846558,1.8125373125076294,0.0,0.577873706817627,0.0,0.0,1666.66663980484
105,0.0,0.0,0.0,0.10000000149011612,,False,False,False,1666.6666169166565,1666.6666666666667,1669.3175048828125,1669.313232421875,0.008219126611948013,0.14171352982521057,0.16499999165534973,1.6993620991706848,0.0,0.6448123455047607,0.0,0.0,1666.6666169166565
106,0.0,0.0,0.0,0.10000000149011612,,False,False,False,1666.666666984558,1666.6666666666667,1671.9501953125,1672.1773681640625,5.869006827197154e-07,0.03781235218048096,0.0,2.2713292837142944,0.0,2.974386692047119,0.0,0.0,1666.666666984558
107,0.0,0.0,0.0,0.10000000149011612,,False,False,False,1666.666591644287,1666.6666666666667,1669.4932861328125,1669.1461181640625,0.01434657908976078,0.0038266421761363745,0.24949998245574534,2.047629624605179,0.0,0.5257382392883301,0.0,0.0,1666.666591644287
108,0.0,0.0,0.0,0.10000000149011612,,False,False,True,1666.666748046875,1666.6666666666667,2169.54150390625,2169.510009765625,0.0,0.005560183431953192,499.9999940157868,2.025634765625,0.0,0.84356689453125,0.0,0.0,1666.666748046875
109,0.0,0.0,0.0,0.10000000149011612,,False,False,False,1666.6666493415833,1666.6666666666667,1671.047119140625,1671.183349609375,1.6127007256727666e-05,0.09896395355463028,0.4285000190138817,1.5382537245750427,0.0,2.3147521018981934,0.0,0.0,1666.6666493415833
110,0.03047907853819922,0.0,0.0,0.10000000149011612,,False,False,False,1666.666594028473,1666.6666666666667,1669.944580078125,1670.0147705078125,0.0007929491112008691,0.036167409271001816,0.8509999848902225,1.8459532856941223,0.0,0.5448653697967529,0.0,0.0,1666.666594028473
111,0.0,0.0,0.0,0.10000000149011612,,False,False,False,1666.666657924652,1666.6666666666667,1669.893310546875,1669.7642822265625,0.0018275289330631495,0.01434252317994833,0.7694999808445573,1.777799665927887,0.0,0.6650104522705078,0.0,0.0,1666.666657924652
112,0.0,0.0,0.0,0.10000000149011612,,False,False,False,1666.666678905487,1666.6666666666667,1669.261474609375,1669.300537109375,0.008574404753744602,0.04170973226428032,0.35199998691678047,1.7884227633476257,0.0,0.41266322135925293,0.0,0.0,1666.666678905487
