rollout,truth_body_min_clearance_m,truth_padded_min_clearance_m,predicted_padded_min_clearance_m,first_predicted_conflict_s,first_predicted_margin_breach_s,truth_dynamic_safe,predicted_dynamic_safe,costcritic_collision,prediction_score_captured,prediction_score_recomputed,total_score,weighted_score,mppi_probability,critic_FollowPath.ConstraintCritic,critic_FollowPath.CostCritic,critic_FollowPath.GoalCritic,critic_FollowPath.GoalAngleCritic,critic_FollowPath.PathAlignCritic,critic_FollowPath.PathFollowCritic,critic_FollowPath.PathAngleCritic,critic_FollowPath.PredictionV1Critic,uniform_center_overlap_fraction
178,0.36335247637660245,0.33212624512196065,0.0,0.9000000134110451,,True,False,False,1666.6666059494019,1666.6666666666667,1672.50439453125,1672.4049072265625,0.0,0.0,0.0,1.9078726768493652,3.9299159049987793,0.0,0.0,0.0,1666.6666059494019,0.0
179,0.14031926664490887,0.11031926368476018,0.0,0.9000000134110451,,True,False,False,1666.666597366333,1666.6666666666667,1672.43896484375,1672.4027099609375,0.0,0.00736923236399889,0.0,1.8447534320876002,3.920244812965393,0.0,0.0,0.0,1666.666597366333,0.0
180,0.25790969021911536,0.21872567827778244,0.0,0.7000000104308128,,True,False,False,1666.672643661499,1666.6726177071778,1672.053955078125,1672.0391845703125,0.0,0.0,0.0,1.7088607549667358,3.6724506616592407,0.0,0.0,0.0,1666.672643661499,3.570624306567488e-06
181,0.23093132846969855,0.18959103852989134,0.04266898125131704,,,True,True,False,0.0,0.0,5.657571792602539,5.769192218780518,0.026132887229323387,0.0,0.0,2.0262651443481445,3.6313066482543945,0.0,0.0,0.0,0.0,0.0
182,0.2097312897091701,0.16937915302743356,0.022145913134939816,,,True,True,False,0.0,0.0,5.707269191741943,5.699162006378174,0.03300399333238602,0.0,0.0,1.75260329246521,3.9546658992767334,0.0,0.0,0.0,0.0,0.0
183,0.27372645764369885,0.23667056342311898,0.0,0.9000000134110451,0.800000011920929,True,False,False,1666.6666259765625,1666.6666666666667,1672.3360595703125,1672.2027587890625,0.0,0.0,0.0,1.764778971672058,3.904654622077942,0.0,0.0,0.0,1666.6666259765625,0.0
184,0.4936554168659102,0.45747455567302,0.0052550164302855445,,0.9000000134110451,True,False,False,0.5,0.5,6.964736461639404,6.673107147216797,0.0012842112919315696,0.0,0.0,2.4011666774749756,4.063569784164429,0.0,0.0,0.0,0.5,0.0
185,0.19536414481175787,0.1644870492510854,0.0,0.9000000134110451,0.4000000059604645,True,False,False,1666.6666278839111,1666.6666666666667,1671.77978515625,1671.874755859375,0.0,0.0,0.0,1.2465134859085083,3.866643786430359,0.0,0.0,0.0,1666.6666278839111,0.0
186,0.19919807692686045,0.15941757809221097,0.0,0.800000011920929,0.7000000104308128,True,False,False,1666.6666731834412,1666.6666666666667,1672.576904296875,1672.6317138671875,0.0,0.0,0.0,1.9932795763015747,3.916951537132263,0.0,0.0,0.0,1666.6666731834412,0.0
187,0.20143019709072857,0.1714301941305798,0.0,0.800000011920929,,True,False,False,1666.6666660308838,1666.6666666666667,1672.5953369140625,1672.5233154296875,0.0,0.0,0.0,1.7237077951431274,4.2049630880355835,0.0,0.0,0.0,1666.6666660308838,0.0
188,0.33209054194158405,0.2992943204082703,0.0,0.9000000134110451,,True,False,False,1666.666663646698,1666.6666666666667,1672.9342041015625,1672.9537353515625,0.0,0.0,0.0,1.666602611541748,4.600937843322754,0.0,0.0,0.0,1666.666663646698,0.0
189,0.19696798089509465,0.15964260512013728,0.0,0.9000000134110451,,True,False,False,1666.6666059494019,1666.6666666666667,1672.23583984375,1672.1368408203125,0.0,0.0,0.0,1.6628367900848389,3.9063971042633057,0.0,0.0,0.0,1666.6666059494019,0.0
190,0.392749453790497,0.36274945083034965,0.0,0.6000000089406967,0.5000000074505806,True,False,False,1666.6793475151062,1666.679287646209,1672.765869140625,1672.5238037109375,0.0,0.0,0.0,1.8045974969863892,4.28192412853241,0.0,0.0,0.0,1666.6793475151062,7.572587725483637e-06
191,0.2602777699041807,0.22272512722791493,0.036844858791882776,,,True,True,False,0.0,0.0,5.762331485748291,5.923123836517334,0.015644026920199394,0.0,0.0,1.7721751928329468,3.9901562929153442,0.0,0.0,0.0,0.0,0.0
192,0.3111071634226068,0.27597718526671944,0.0,0.7000000104308128,0.6000000089406967,True,False,False,1666.7219848632812,1666.7219404102034,1672.537109375,1672.517578125,0.0,0.018776416778564453,0.0,1.6288114786148071,4.167536616325378,0.0,0.0,0.0,1666.7219848632812,3.316424612197932e-05
193,0.30133049036556603,0.2601698084196338,0.0,0.800000011920929,0.7000000104308128,True,False,False,1666.666612625122,1666.6666666666667,1672.072265625,1672.038818359375,0.0,0.0,0.0,1.8661143779754639,3.539538621902466,0.0,0.0,0.0,1666.666612625122,0.0
194,0.17214517254385586,0.14214516958370715,0.014408903814911916,,0.9000000134110451,True,False,False,0.5,0.5,6.8778486251831055,6.92415189743042,0.0005561756552197039,0.0,0.0,1.886553168296814,4.4912954568862915,0.0,0.0,0.0,0.5,0.0
195,0.14880521086682907,0.11880520790668117,0.0,0.800000011920929,0.7000000104308128,True,False,False,1666.6665649414062,1666.6666666666667,1672.441162109375,1672.526123046875,0.0,0.0,0.0,1.464168906211853,4.310428261756897,0.0,0.0,0.0,1666.6665649414062,0.0
